student_id,attendance,study_hours,previous_score,assignment_score,internal_score,sleep_hours,participation,final_score
STU001,95,5,88,92,90,7,9,91
STU002,88,4,80,85,82,7,8,84
STU003,75,2,65,70,68,6,6,69
STU004,92,6,90,94,92,8,10,94
STU005,68,2,55,60,58,5,5,59
STU006,85,4,78,80,79,7,8,81
STU007,60,1,45,50,48,5,4,49
STU008,98,7,95,97,96,8,10,97
STU009,72,3,62,68,65,6,6,66
STU010,90,5,85,88,87,7,9,89
STU011,78,3,70,75,72,6,7,73
STU012,55,1,40,45,42,5,3,44
STU013,94,6,91,93,90,8,10,93
STU014,82,4,75,78,77,7,8,79
STU015,65,2,52,58,55,6,5,56
STU016,89,5,84,86,85,7,9,87
STU017,70,2,60,65,62,6,6,64
STU018,97,7,94,96,95,8,10,96
STU019,76,3,68,72,70,6,7,71
STU020,58,1,42,48,45,5,4,47
STU021,91,5,87,90,89,7,9,90
STU022,84,4,76,81,79,7,8,80
STU023,67,2,50,55,53,6,5,54
STU024,96,6,92,95,93,8,10,95
STU025,73,3,64,69,67,6,6,68
STU026,87,4,81,84,82,7,8,84
STU027,62,1,47,52,49,5,4,51
STU028,93,5,89,91,90,8,9,91
STU029,79,3,71,76,74,6,7,75
STU030,69,2,57,62,59,6,5,61
